subject,event,source,has_transcript
"South Sound .NET w/Bobby Johnson","",vimeo,no
"Stephen Anderson","",vimeo,yes
"Stephen Anderson","",youtube,no
"Stephen Anderson.mp4","",vimeo,no
"Steve Klabnik","",vimeo,yes
"Steve Klabnik","",youtube,no
"Stuart Halloway","",youtube,yes
"Stuart Halloway.mp4","",vimeo,no
"Tim Bray co inventor XML","GOTO  Chicago 2014",youtube,no
"Tim Murphy","",vimeo,yes
"Tim Murphy","",youtube,no
"Tim Ottinger","",vimeo,yes
"Tim Ottinger","",youtube,no
"Yehuda Katz & Tom Dale creators of Ember js and","RailsConf 2014",youtube,no
"Zach Dennis","",vimeo,yes
"Zach Dennis","",youtube,no
"Zach Shaw","",youtube,no
"Zachary Shaw","",youtube,no
